Company Name,Address,Phone,Rating,Review_Count,Management Team,Email,Website
All Smiles Dental,"156 W Portal Ave San Francisco, CA 94127",+14155642200,4.8,620,"informationcuong ho h.business ownergeneral and cosmetic treatments
orthodontic treatment",40x40_emergency_services_v2@3x.yji-f095ef0fdc32bcff4b29.png,https://www.yelp.com/biz/all-smiles-dental-san-francisco-5?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Mission Dental Group SF,"2460 Mission St Ste 106 San Francisco, CA 94110",+14158499991,4.7,116,informationjeannine a.business manageraug 7,40x40_available_by_appointment_v2@3x.yji-61643f38d580b49ef0e5.png,https://www.yelp.com/biz/mission-dental-group-sf-san-francisco?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Soothing Dental,"450 Sutter St Ste 2500 San Francisco, CA 94108",+14159219035,4.4,552,informationsoothing dental i.business ownerwe accept all dental ppo plans. free uber rides to,40x40_emergency_services_v2@3x.yji-f095ef0fdc32bcff4b29.png,https://www.yelp.com/biz/soothing-dental-san-francisco-12?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
"Mary Anne Baysac, DDS - San Francisco Dental Care","4200 California St Ste 210 San Francisco, CA 94118",+14156680526,5.0,188,,,https://www.yelp.com/biz/mary-anne-baysac-dds-san-francisco-dental-care-san-francisco-4?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
UCSF Dental Center,"707 Parnassus Ave Ste D 4000 San Francisco, CA 94143",+14155025800,2.6,212,loginclaim your business pageadvertise on yelpyelp for restaurant ownerstable managementbusiness success storiesbusiness supportyelp blog for businessyelp data for b2byelp data for b2clanguagesenglishcitiesexplore a cityaustinbaltimorecharlottechicagocolorado springscolumbusdallasdenverdetroitel pasofort worthhoustonindianapolisjacksonvillelas vegaslos angelesmiaminashvillenew yorkoklahoma cityphiladelphiaphoenixportlandsacramentosan antoniosan diegosan franciscosan joseseattlewashingtonaboutblogsupporttermsprivacy policyyour privacy choicescopyright,default_user_avatar_64x64_v2@2x.yji-cfb49ee371b5b7711e94.png,https://www.yelp.com/biz/ucsf-dental-center-san-francisco-5?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Grace Dental Group,"350 Divisadero St San Francisco, CA 94117",+14159218867,4.8,85,"informationwoo young l.business ownerabout grace dental group
grace dental group is a modern dental practice located right in the heart of the fillmore district in san francisco",default_user_avatar_64x64_v2@2x.yji-cfb49ee371b5b7711e94.png,https://www.yelp.com/biz/grace-dental-group-san-francisco?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Ingleside Dental SF,"2419 Ocean Ave San Francisco, CA 94127",+14153334232,4.8,126,informationdavid p.business ownerour team strives to be one of the best dental office in the san francisco and daly city area. we are passionate about delivering quality service and fantastic experience in the a clean,default_user_avatar_64x64_v2@2x.yji-cfb49ee371b5b7711e94.png,https://www.yelp.com/biz/ingleside-dental-sf-san-francisco-4?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Avenue Dental,"926 Irving St San Francisco, CA 94122",+14155649888,4.8,50,loginclaim your business pageadvertise on yelpyelp for restaurant ownerstable managementbusiness success storiesbusiness supportyelp blog for businessyelp data for b2byelp data for b2clanguagesenglishcitiesexplore a cityaustinbaltimorecharlottechicagocolorado springscolumbusdallasdenverdetroitel pasofort worthhoustonindianapolisjacksonvillelas vegaslos angelesmiaminashvillenew yorkoklahoma cityphiladelphiaphoenixportlandsacramentosan antoniosan diegosan franciscosan joseseattlewashingtonaboutblogsupporttermsprivacy policyyour privacy choicescopyright,default_user_avatar_64x64_v2@2x.yji-cfb49ee371b5b7711e94.png,https://www.yelp.com/biz/avenue-dental-san-francisco?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Geary Dental Center,"4225 Geary Blvd Ste A Geary Dental Center San Francisco, CA 94118",+14157021310,4.4,92,informationvalentina y.business ownerat geary dental center,default_user_avatar_64x64_v2@2x.yji-cfb49ee371b5b7711e94.png,https://www.yelp.com/biz/geary-dental-center-san-francisco-3?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Washington Square Park Dental,"1719 Powell St San Francisco, CA 94133",+14158919773,4.6,369,,,https://www.yelp.com/biz/washington-square-park-dental-san-francisco?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
Lakeside Dental Care,"1185 Vicente St San Francisco, CA 94116",+14154697777,4.7,117,,,https://www.yelp.com/biz/lakeside-dental-care-san-francisco?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
"George Ambus, DDS","595 Buckingham Way Ste 230 San Francisco, CA 94132",+14155666461,4.9,63,informationgeorge a.business ownerdr. george ambus practices a full scope of general and cosmetic dentistry including implants,default_user_avatar_64x64_v2@2x.yji-cfb49ee371b5b7711e94.png,https://www.yelp.com/biz/george-ambus-dds-san-francisco?adjust_creative=RuNDS0w1-eq7bTiE_rnn-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=RuNDS0w1-eq7bTiE_rnn-A
