Name,Address,Phone,Rating,Review_Count
All Smiles Dental,"156 W Portal Ave San Francisco, CA 94127",+14155642200,4.8,620
Mission Dental Group SF,"2460 Mission St Ste 106 San Francisco, CA 94110",+14158499991,4.7,116
Soothing Dental,"450 Sutter St Ste 2500 San Francisco, CA 94108",+14159219035,4.4,552
"Mary Anne Baysac, DDS - San Francisco Dental Care","4200 California St Ste 210 San Francisco, CA 94118",+14156680526,5.0,188
UCSF Dental Center,"707 Parnassus Ave Ste D 4000 San Francisco, CA 94143",+14155025800,2.6,212
Grace Dental Group,"350 Divisadero St San Francisco, CA 94117",+14159218867,4.8,85
Ingleside Dental SF,"2419 Ocean Ave San Francisco, CA 94127",+14153334232,4.8,126
Avenue Dental,"926 Irving St San Francisco, CA 94122",+14155649888,4.8,50
Geary Dental Center,"4225 Geary Blvd Ste A Geary Dental Center San Francisco, CA 94118",+14157021310,4.4,92
Washington Square Park Dental,"1719 Powell St San Francisco, CA 94133",+14158919773,4.6,369
Lakeside Dental Care,"1185 Vicente St San Francisco, CA 94116",+14154697777,4.7,117
"George Ambus, DDS","595 Buckingham Way Ste 230 San Francisco, CA 94132",+14155666461,4.9,63
Wayne W Lee DDS and Associates,"1828 Clement St San Francisco, CA 94121",+14153860790,4.8,79
Michael T Cole,"2595 Mission St Ste 308 San Francisco, CA 94110",+14156479191,3.4,21
"Chin Martin, DDS","2100 Webster St Ste 303 San Francisco, CA 94115",+14159233867,4.8,17
"Titus Tang, DDS MAGD","59 B Serramonte Ctr Daly City, CA 94015",+16507551222,4.8,453
"Bernardo D Gonzalez, DDS- 24th Street Dental","2720 24th St San Francisco, CA 94110",+14152824566,4.0,60
"Joel A McFaul & Betty S Wong, DDS","2300 Sutter St Ste 204 San Francisco, CA 94115",+14159210434,5.0,62
"Brian Bast, DMD MD","707 Parnassus Ave Ste D-1201 UCSF Oral & Maxillofacial Surgery San Francisco, CA 94143",+14154761316,5.0,8
Western Dental & Orthodontics,"2626 Mission St San Francisco, CA 94110",+18552036053,2.0,685
San Francisco Surgical Arts,"301 Main St Unit 1a San Francisco, CA 94105",+14158136400,4.7,68
"Robert Mostovoy, DDS - Mostovoy Dental","3641 Sacramento St Ste H San Francisco, CA 94118",+14157750974,5.0,5
"Alec J Temlock, DMD, MS","450 Sutter St Ste 1616 San Francisco, CA 94108",+14157873151,4.9,129
Union Square Dental Practice,"450 Sutter St Ste 2414 San Francisco, CA 94108",+14156939139,4.8,174
Glen Park Dental,"4 Joost Ave San Francisco, CA 94131",+14155851500,4.3,160
UDC Dental Center,"3448 Mission St Ste A San Francisco, CA 94110",+14154005115,4.6,36
Van Ness Family Dentistry,"1336 Van Ness Ave Ste 1 San Francisco, CA 94109",+15102563427,4.2,30
Fuller Smiles - San Francisco,"1945 Noriega St San Francisco, CA 94122",+14157312260,4.8,19
Skyline Dental Studio,"450 Sutter St Ste 2021 San Francisco, CA 94108",+14159814960,4.8,77
"Teodor A Manaois, DDS","2645 Ocean Ave Ste 210 San Francisco, CA 94132",+14155874700,4.8,36
Balboa Dental Care,"3544 Balboa St San Francisco, CA 94121",+14153878810,4.8,23
"Justin W Shek, DDS","3400 California St Ste 200 San Francisco, CA 94118",+14155672408,4.8,48
"Leo C Yang, DDS","163 Miller Ave Ste 1 Mill Valley, CA 94941",+14153831737,4.8,112
Dental Health of San Francisco,"2407 Noriega St San Francisco, CA 94122",+14156822368,3.0,64
Valencia Dental Center,"3532 20th St San Francisco, CA 94110",+14156436424,4.3,73
"San Francisco Dental Sleep Medicine: Douglas Chenin, DDS","2001 Union St Ste 420 San Francisco, CA 94123",+14154243313,5.0,56
Azure Dental,"2186 Geary Blvd Ste 103 San Francisco, CA 94115",+14155633100,4.3,99
SF Dental,"800 Santiago St Ste B San Francisco, CA 94116",+14155663305,4.8,133
Green Dentistry,"360 Post St Ste 704 San Francisco, CA 94108",+14154330119,4.1,407
"Kenneth G Louie, DDS","749 Taraval St San Francisco, CA 94116",+14156819020,4.9,18
"Ronald Lee, DDS","2145 19th Ave Ste 1 San Francisco, CA 94116",+14155661911,5.0,16
"Robert Phong Ho, DDS","307 12th Ave San Francisco, CA 94118",+14153860666,4.9,124
Potrero Hill Dental,"930 16th St San Francisco, CA 94107",+14158904449,4.4,53
"Mathew Chow, DDS","500 Sutter St Ste 819 San Francisco, CA 94108",+14153911060,5.0,10
"Frank Wong, DDS","377 W Portal Ave Ste C San Francisco, CA 94127",+14156651500,4.4,41
Bernal Heights Smiles,"3208 Mission St San Francisco, CA 94110",+14156418900,4.6,51
West Portal Dental Care,"48 Vicente St San Francisco, CA 94127",+14156813171,4.4,127
"Craig McDow, DMD MS","450 Sutter St Ste 1130 San Francisco, CA 94108",+14153181818,4.4,49
Mission Dental,"2656 Mission St San Francisco, CA 94110",+14152859900,3.9,73
"James R Urick, DDS","230 California St Ste 200 San Francisco, CA 94111",+14154331839,4.6,46
